初始,代码,名称,最新,涨幅%,涨跌,总量,现量,买入价,卖出价,涨速%,换手%,金额,市盈率, 所属行业,最高,最低,开盘,昨收,振幅%,量比,委比%,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅%,6日涨幅%,3日换手%,6日换手%,自选时间,自选价格,自选收益,连涨天数,本月涨幅%,今年涨幅%,近一月涨幅%,近一年涨幅%,昨日涨幅%,昨成交量,昨成交额,昨量比,昨换手%,实体涨幅%,5日涨幅%,本月涨幅%,近一月涨幅%,5日换手率%,10日换手率%,连涨天数,总市值,流通市值,人均持股数(最新公告),市盈率(动),市盈率(TTM),市净率,市销率,股息率TTM%,每股收益(期末股本),每股收益(TTM),加权净资产收益率%,总资产收益率%,营业总收入同比%,归属净利润同比%,扣非净利润同比%,现金流量比例%,销售毛利率%,总负债,资产负债比率%,股利支付率%,竞价涨幅%,竞价换手率%,竞价实际换手率%,竞价量,竞价金额,未匹配量,未匹配金额,竞昨量比,竞昨成交比%,首次涨停时间,封单额,最终涨停时间,封单额,封单量,昨封单额,昨封单量,封成比%,昨封成比%,封流比%,涨停开板次数,今年累计涨停天数,几天几板,主力净流入,主力净比,3日主力净流入
21,002851,麦格米特,120.21,3.98,4.60,38.5万,2876,120.20,120.21,-0.03,8.40,46.44亿,246.57, 其他电源设备Ⅱ,124.57,118.22,121.39,115.61,5.49,1.97,-65.12,-967,120.68,18.7万,19.8万,0.95,134,273,7.86,5.815亿,699.0亿,4.580亿,550.5亿,11.26,10.93,16.49,29.77,2026/04/29,115.61,3.98%,2,23.67,33.46,17.20,150.28,10.00,22.7万,26.11亿,1.97,8.40,-0.97,12.92,23.67,17.20,25.26,51.14,2,699.0亿,550.5亿,6188,246.57,294.20,7.86,7.71,0.04,0.391,0.409,3.46,1.92,15.05,-48.29,-67.85,0.02,21.83,67.2亿,51.30,11.97,5.00,0.1972,0.2273,9031,1.10亿,76,91.92万,1.80,3.97,—,—,—,—,—,2.34亿,2.03万,—,8.91,—,0,2,昨日首板,-2.68亿,-0.56,3.44亿
22,600111,北方稀土,53.04,4.10,2.09,271万,2.19万,53.03,53.04,0.02,7.51,143.02亿,85.17, 小金属,53.35,51.36,51.88,50.95,3.91,2.66,4.98,1292,52.71,110万,161万,0.69,7798,4431,7.78,36.15亿,1917亿,36.15亿,1917亿,13.26,5.76,14.02,21.63,2026/04/29,50.95,4.10%,2,11.24,15.00,9.41,125.61,10.00,187万,93.53亿,2.66,7.51,2.24,12.47,11.24,9.41,17.16,33.02,2,1917亿,1917亿,6563,85.17,85.17,7.78,4.60,0.07,0.623,0.623,9.56,4.53,29.11,124.17,412.02,0.22,11.57,176亿,36.82,20.88,1.83,0.1422,0.2294,5.14万,2.67亿,5090,2641万,3.23,2.75,—,—,—,—,—,7.18亿,14.1万,—,7.52,—,0,2,昨日首板,-3.01亿,-0.25,22.6亿
23,600496,精工钢构,4.15,0.00,0.00,63.7万,6228,4.15,4.16,-0.24,3.20,2.65亿,10.50, 专业工程,4.19,4.07,4.12,4.15,2.89,0.73,-2.97,-1767,4.15,27.7万,36.0万,0.77,4366,4852,0.90,19.90亿,82.59亿,19.90亿,82.59亿,11.56,9.50,15.02,25.22,2026/04/28,4.09,1.47%,0,4.01,0.00,0.73,36.96,1.47,123万,5.04亿,0.73,3.20,0.73,4.80,4.01,0.73,21.02,40.14,0,82.59亿,82.59亿,2.54万,10.50,13.20,0.90,0.39,1.93,0.295,0.315,6.46,2.27,20.85,24.02,14.89,0.05,11.52,172亿,64.76,72.37,-0.72,0.0662,0.1043,1.32万,543万,1691,69.67万,0.62,1.07,—,—,—,—,—,—,—,—,—,—,0,1,—,-1833万,-0.35,8259万
24,920471,美邦科技,14.26,-2.79,-0.41,5.88万,1949,14.26,14.27,0.14,11.09,8515万,-43.57, 化学制品,14.95,14.10,14.35,14.67,5.79,0.79,2.08,6,14.47,3.20万,2.68万,1.19,11,37,2.35,8320万,11.86亿,5303万,7.562亿,19.33,10.89,52.63,81.16,2026/04/28,15.53,-8.18%,-2,15.19,12.37,14.54,-16.12,-5.54,9.80万,1.46亿,0.79,11.09,-0.63,5.24,15.19,14.54,68.59,92.58,-2,11.86亿,7.562亿,1.28万,-43.57,-43.57,2.35,2.56,0.69,-0.070,-0.327,-5.23,-1.51,-21.74,-688.67,-139.71,0.14,12.55,3.28亿,34.41,-31.56,-2.18,0.2458,0.3664,1304,187万,31,4.48万,0.58,1.33,—,—,—,—,—,—,—,—,—,—,0,2,—,-250万,-0.49,863万
25,300187,永清环保,5.62,-3.44,-0.20,43.8万,1.47万,5.62,5.63,0.00,6.83,2.49亿,27.55, 环境治理,5.84,5.61,5.83,5.82,3.95,1.14,48.04,7666,5.69,25.0万,18.8万,1.33,1253,585,3.36,6.456亿,36.28亿,6.421亿,36.09亿,9.77,8.70,31.40,36.84,2026/04/28,6.14,-8.47%,-2,8.70,15.40,7.66,23.52,-5.21,81.3万,4.77亿,1.14,6.83,-3.60,11.73,8.70,7.66,34.58,43.27,-2,36.28亿,36.09亿,3.06万,27.55,32.00,3.36,4.69,2.14,0.153,0.176,8.87,2.82,2.66,18.02,243.98,0.09,33.44,23.5亿,67.25,61.47,0.17,0.1329,0.2506,8535,498万,167,9.74万,0.52,1.05,—,—,—,—,—,—,—,—,—,—,0,1,—,-2035万,-1.06,5314万
26,601828,美凯龙,2.67,2.69,0.07,97.4万,8382,2.66,2.67,0.00,2.70,2.62亿,-0.49, 一般零售,2.76,2.61,2.61,2.60,5.77,2.13,-21.60,-6635,2.69,39.3万,58.1万,0.68,2825,2323,0.52,43.55亿,116.3亿,36.13亿,96.48亿,8.98,12.66,7.25,9.02,2026/04/28,2.70,-1.11%,1,10.33,-1.11,10.79,-13.31,-3.70,97.3万,2.57亿,—,—,2.30,12.66,10.33,10.79,8.56,10.22,1,116.3亿,96.48亿,7.64万,-0.49,-0.49,0.52,1.77,—,-5.450,-5.447,-68.75,-25.02,-15.85,-695.12,-241.11,0.03,59.80,634亿,72.62,—,0.38,0.0801,0.1949,2.89万,755万,5511,144万,0.46,2.97,—,—,—,—,—,—,—,—,—,—,0,1,—,2999万,0.76,4578万
27,601101,昊华能源,11.69,6.86,0.75,69.5万,1.12万,11.69,11.70,0.00,4.83,7.74亿,22.79, 煤炭开采,11.72,10.71,10.75,10.94,9.23,0.96,42.06,2133,11.14,33.0万,36.5万,0.90,115,1002,1.39,14.40亿,168.3亿,14.40亿,168.3亿,18.20,37.37,15.19,29.92,2026/04/28,10.88,7.44%,9,37.85,63.27,37.85,79.02,0.55,81.6万,8.82亿,0.96,4.83,8.74,24.89,37.85,37.85,25.98,33.88,9,168.3亿,168.3亿,3.91万,22.79,35.71,1.39,1.96,3.92,0.380,0.327,4.61,2.44,-7.85,-50.50,-49.23,0.37,32.53,132亿,46.36,70.26,-1.74,0.0448,0.1221,6450,693万,186,19.95万,0.52,0.79,—,—,—,—,—,—,—,—,—,—,0,2,—,2875万,0.47,1.14亿
28,600623,华谊集团,10.88,0.18,0.02,28.8万,8238,10.88,10.89,-0.18,1.53,3.12亿,43.86, 化学原料,11.00,10.76,10.86,10.86,2.21,0.98,-43.60,-4371,10.86,14.8万,14.0万,1.05,48,559,1.04,21.23亿,231.0亿,18.76亿,204.1亿,10.68,11.13,6.67,9.33,2026/04/28,10.81,0.65%,4,12.86,41.12,12.63,66.36,0.46,48.7万,5.28亿,—,—,0.18,10.68,12.86,12.63,8.34,13.80,4,231.0亿,204.1亿,3.84万,43.86,37.46,1.04,0.54,1.65,0.190,0.290,1.59,0.48,-5.14,-42.68,-24.59,0.07,7.67,425亿,58.30,—,0.00,0.0138,0.0382,2597,282万,1763,191万,0.36,0.53,—,—,—,—,—,—,—,—,—,—,0,2,—,2647万,0.36,5201万
29,002715,登云股份,17.50,2.10,0.36,15.4万,1869,17.50,17.51,0.06,11.14,2.69亿,-153.48, 汽车零部件,17.88,16.93,17.11,17.14,5.54,1.82,21.18,287,17.48,7.58万,7.79万,0.97,109,28,5.26,1.380亿,24.15亿,1.380亿,24.15亿,12.40,12.76,33.86,41.73,2026/04/28,17.13,2.16%,5,14.53,0.81,17.92,14.90,0.06,18.7万,3.19亿,—,—,2.28,15.13,14.53,17.92,39.26,50.05,5,24.15亿,24.15亿,9732,-153.48,-153.48,5.26,4.61,—,-0.114,-0.114,-3.36,-1.70,2.58,-406.63,-1688.14,0.25,23.84,3.68亿,44.48,—,-0.18,0.1036,0.1604,1429,245万,12,2.05万,0.37,0.76,—,—,—,—,—,—,—,—,—,—,0,1,—,730万,0.47,6730万
30,603338,浙江鼎力,55.12,-4.97,-2.88,13.1万,1708,55.12,55.13,0.02,2.59,7.35亿,14.70, 工程机械,57.91,55.02,57.71,58.00,4.98,1.61,2.21,23,55.99,6.77万,6.35万,1.06,88,25,2.45,5.063亿,279.1亿,5.063亿,279.1亿,6.33,10.57,7.86,10.65,2026/04/28,57.02,-3.33%,-1,13.93,-2.68,12.19,43.24,1.72,16.9万,9.89亿,—,—,-4.49,11.60,13.93,12.19,9.98,13.79,-1,279.1亿,279.1亿,1.74万,14.70,14.70,2.45,3.25,2.09,3.750,3.751,17.78,11.61,9.96,16.60,11.36,0.25,34.26,59.4亿,34.25,—,-0.50,0.0179,0.0410,908,524万,133,76.75万,0.25,0.54,—,—,—,—,—,—,—,—,—,—,0,1,—,-1114万,-0.09,1.04亿
31,002412,汉森制药,6.99,-0.29,-0.02,30.4万,6055,6.99,7.00,-0.29,6.11,2.14亿,31.97, 中药Ⅱ,7.11,6.92,6.99,7.01,2.71,1.53,-32.70,-2449,7.03,13.2万,17.2万,0.77,577,639,1.56,5.032亿,35.17亿,4.978亿,34.80亿,7.70,7.54,21.51,26.05,2026/04/28,7.14,-2.10%,-2,4.80,9.05,1.60,18.68,-1.82,49.7万,3.47亿,—,—,0.00,8.37,4.80,1.60,24.58,33.27,-2,35.17亿,34.80亿,1.59万,31.97,20.45,1.56,3.35,—,0.164,0.342,3.69,3.23,6.75,-36.88,-37.24,0.58,77.04,3.02亿,11.77,—,-0.29,0.1448,0.2522,7208,504万,728,50.90万,0.37,1.45,—,—,—,—,—,—,—,—,—,—,0,2,—,-1940万,-0.97,5585万
32,003026,中晶科技,49.99,5.42,2.57,27.3万,3658,49.99,50.00,0.00,28.53,12.86亿,142.66, 半导体,52.16,44.63,47.20,47.42,15.88,1.83,32.42,517,47.09,14.0万,13.3万,1.05,685,462,9.84,1.296亿,64.80亿,9570万,47.84亿,21.45,31.10,73.98,106.55,2026/04/28,45.28,10.40%,5,40.42,61.88,38.67,77.27,4.73,28.5万,13.68亿,—,—,5.91,31.35,40.42,38.67,100.01,132.67,5,64.80亿,47.84亿,3120,142.66,147.39,9.84,15.34,0.30,0.260,0.339,5.19,2.68,-0.03,164.62,181.00,0.08,40.93,6.02亿,47.78,—,-0.46,0.7421,0.9540,7102,3352万,354,167万,1.01,2.49,—,—,—,—,—,—,—,—,—,—,0,1,—,-6067万,-1.63,-6.88万
33,002923,润都股份,13.22,-0.45,-0.06,13.5万,2233,13.21,13.22,0.00,5.23,1.79亿,-60.72, 化学制药,13.45,13.13,13.14,13.28,2.41,1.00,-15.23,-301,13.28,6.96万,6.54万,1.06,14,10,4.23,3.349亿,44.27亿,2.581亿,34.12亿,5.42,7.13,22.87,31.48,2026/04/28,13.79,-4.13%,-2,-15.63,8.81,-23.32,10.63,-3.70,28.4万,3.77亿,—,—,0.61,7.31,-15.63,-23.32,28.93,45.88,-2,44.27亿,34.12亿,1.22万,-60.72,-85.16,4.23,3.72,1.13,-0.160,-0.155,-4.96,-2.56,0.85,-247.09,-353.15,0.09,37.80,10.3亿,49.50,—,-1.05,0.1405,0.2449,3627,477万,130,17.08万,0.38,1.28,—,—,—,—,—,—,—,—,—,—,0,2,—,-1306万,-0.67,4861万
34,002313,日海智能,9.61,-3.71,-0.37,32.7万,5484,9.61,9.62,0.21,8.74,3.13亿,-49.25, 通信设备,9.80,9.39,9.68,9.98,4.11,0.89,26.50,1669,9.57,18.9万,13.8万,1.36,1435,467,268.92,3.744亿,35.98亿,3.744亿,35.98亿,4.46,13.33,33.01,57.61,2026/04/28,10.12,-5.04%,-2,10.46,-5.69,10.46,12.27,-1.38,55.4万,5.56亿,—,—,-0.72,9.70,10.46,10.46,50.90,63.30,-2,35.98亿,35.98亿,6733,-49.25,-32.98,268.92,1.35,—,-0.146,-0.291,-140.22,-1.73,-13.22,31.01,24.66,0.07,16.82,30.2亿,99.72,—,-3.01,0.2053,0.3628,7686,744万,149,14.42万,0.57,1.39,—,—,—,—,—,—,—,—,—,—,0,2,—,-862万,-0.42,5457万
35,601177,杭齿前进,15.93,-0.06,-0.01,16.7万,2605,15.93,15.94,0.00,4.17,2.67亿,25.62, 通用设备,16.28,15.71,15.90,15.94,3.58,1.43,-21.65,-1291,16.01,9.09万,7.58万,1.20,111,2699,2.29,4.077亿,64.95亿,4.001亿,63.73亿,7.85,7.49,15.74,18.77,2026/04/28,16.25,-1.97%,-2,10.63,-8.18,9.86,-3.57,-1.91,23.7万,3.79亿,—,—,0.19,9.18,10.63,9.86,17.78,22.25,-2,64.95亿,63.73亿,8242,25.62,25.62,2.29,2.71,0.44,0.632,0.622,9.24,5.12,4.29,5.28,3.33,0.17,19.30,24.1亿,45.05,—,-0.25,0.0561,0.1021,2246,357万,836,133万,0.34,0.95,—,—,—,—,—,—,—,—,—,—,0,1,—,-218万,-0.06,1.14亿
36,605168,三人行,47.06,-2.97,-1.44,27.6万,2591,47.05,47.06,0.36,13.08,13.09亿,51.51, 广告营销,49.73,45.66,48.76,48.50,8.39,2.65,14.54,16,47.48,13.6万,14.0万,0.97,3,9,3.70,2.108亿,99.21亿,2.108亿,99.21亿,17.42,11.33,29.64,37.76,2026/04/28,44.09,6.74%,-1,30.00,21.98,29.04,85.06,10.00,20.6万,9.89亿,—,—,-3.49,14.06,30.00,29.04,34.50,56.76,-1,99.21亿,99.21亿,9330,51.51,115.23,3.70,2.69,1.53,0.690,0.408,5.37,3.30,-16.72,-20.48,-3.09,0.37,17.18,14.6亿,35.24,—,0.54,0.3094,0.6221,6522,3180万,45,21.94万,1.48,3.16,—,—,—,—,—,3195万,6587,—,3.19,—,0,4,3天2板,-1.49亿,-3.01,2663万
37,601789,宁波建工,5.89,-2.32,-0.14,173万,1.95万,5.89,5.90,0.17,15.89,10.28亿,36.92, 房屋建设Ⅱ,6.07,5.86,5.98,6.03,3.48,1.39,25.97,1.35万,5.95,93.3万,79.5万,1.17,3382,7179,1.48,15.24亿,89.79亿,10.87亿,64.01亿,8.27,5.56,49.70,73.12,2026/04/28,5.98,-1.51%,-1,6.51,18.04,0.34,18.04,0.84,292万,17.61亿,—,—,-1.51,2.97,6.51,0.34,63.25,102.94,-1,89.79亿,64.01亿,1.44万,36.92,33.11,1.48,0.44,1.21,0.156,0.178,3.70,0.61,-5.69,-16.93,-15.92,-0.08,9.15,256亿,83.56,—,-0.83,0.4188,0.5726,4.55万,2722万,2098,125万,0.74,1.56,—,—,—,—,—,—,—,—,—,—,0,5,—,-5687万,-1.21,1.14亿
38,603283,赛腾股份,53.83,0.06,0.03,16.7万,2289,53.83,53.84,0.00,6.17,9.06亿,27.31, 自动化设备,55.25,53.41,53.98,53.80,3.42,1.23,28.34,564,54.15,9.03万,7.69万,1.17,649,511,4.42,2.712亿,146.0亿,2.712亿,146.0亿,8.31,4.54,20.62,31.34,2026/04/28,54.67,-1.54%,1,28.11,24.26,25.68,68.64,-1.59,23.0万,12.37亿,—,—,-0.28,6.62,28.11,25.68,26.87,49.83,1,146.0亿,146.0亿,5607,27.31,30.40,4.42,4.30,0.75,1.440,1.770,12.15,7.15,-20.62,-15.61,-17.91,0.20,46.18,24.7亿,42.03,—,0.33,0.0393,0.0617,1065,575万,34,18.35万,0.27,0.46,—,—,—,—,—,—,—,—,—,—,0,3,—,3770万,0.41,2.47亿
39,002821,凯莱英,125.56,-0.98,-1.24,7.60万,1244,125.56,125.57,0.01,2.40,9.61亿,40.01, 医疗服务,128.99,125.17,126.73,126.80,3.01,0.72,43.87,177,126.48,3.88万,3.72万,1.04,218,60,2.57,3.609亿,453.1亿,3.170亿,398.1亿,6.66,11.08,10.16,18.97,2026/04/28,129.49,-3.03%,-2,13.35,35.11,3.04,94.97,-2.08,14.7万,18.61亿,—,—,-0.92,12.10,13.35,3.04,17.04,26.99,-2,453.1亿,398.1亿,7156,40.01,40.01,2.57,6.79,1.03,3.160,3.138,6.58,5.69,14.91,19.35,22.01,0.72,41.99,26.3亿,12.98,—,-0.06,0.0115,0.0184,365,463万,1,1.27万,0.10,0.25,—,—,—,—,—,—,—,—,—,—,0,3,—,-9958万,-0.40,1.66亿
40,600744,华银电力,8.54,-4.15,-0.37,212万,3.20万,8.54,8.55,0.00,10.42,18.30亿,36.47, 电力,8.91,8.51,8.86,8.91,4.49,0.94,61.80,3.28万,8.64,126万,85.8万,1.47,1812,5682,12.19,20.31亿,173.5亿,20.31亿,173.5亿,8.38,5.56,39.80,66.14,2026/04/28,8.67,-1.50%,-1,12.96,45.24,12.81,143.30,2.77,399万,35.95亿,—,—,-3.61,0.83,12.96,12.81,53.74,100.93,-1,173.5亿,173.5亿,1.05万,36.47,82.54,12.19,2.03,—,0.176,0.103,18.89,1.35,3.23,954.94,1422.71,0.31,13.27,260亿,91.98,—,-0.56,0.2147,0.4787,4.36万,3864万,1414,125万,0.81,1.09,—,—,—,—,—,—,—,—,—,—,0,5,—,-6744万,-0.87,3.08亿
41,301261,恒工精密,86.78,-1.75,-1.55,6.09万,963,86.78,86.79,-0.01,16.26,5.28亿,73.17, 通用设备,88.32,84.55,87.22,88.33,4.27,1.47,-22.01,-41,86.59,2.89万,3.20万,0.90,23,32,4.95,8789万,76.27亿,3748万,32.53亿,16.02,12.23,60.07,71.64,2026/04/28,89.76,-3.32%,-2,14.56,-15.40,12.26,10.67,-1.59,10.6万,9.33亿,—,—,-0.50,16.16,14.56,12.26,66.80,86.68,-2,76.27亿,32.53亿,2843,73.17,147.50,4.95,7.06,0.69,0.889,0.588,5.05,2.91,6.37,-18.68,-15.68,-0.06,23.81,10.6亿,40.31,—,-1.26,0.3954,0.4719,1482,1293万,15,13.08万,0.61,1.40,—,—,—,—,—,—,—,—,—,—,0,1,—,-3291万,-1.21,5326万
42,001266,宏英智能,40.59,2.71,1.07,16.8万,1793,40.59,40.60,-0.27,28.94,7.04亿,277.64, 自动化设备,43.45,40.35,41.90,39.52,7.84,9.58,-60.60,-448,41.89,7.72万,9.08万,0.85,17,34,4.48,1.036亿,42.04亿,5808万,23.58亿,24.28,23.52,35.47,44.05,2026/04/28,35.93,12.97%,4,32.00,3.10,29.35,93.01,9.99,3.00万,1.19亿,—,—,-3.13,26.53,32.00,29.35,41.53,54.18,4,42.04亿,23.58亿,5682,277.64,104.92,4.48,5.44,0.73,0.110,0.387,1.14,0.64,0.80,197.53,141.62,0.14,28.07,7.67亿,44.97,—,6.02,1.2636,2.0477,7339,3075万,61,25.56万,4.88,24.44,—,—,—,—,—,4605万,1.17万,—,38.80,—,0,3,3天2板,-2259万,-1.55,-545万
43,605138,盛泰集团,7.70,2.39,0.18,16.3万,2972,7.70,7.71,0.00,2.94,1.26亿,82.53, 服装家纺,7.78,7.49,7.49,7.52,3.86,1.13,-38.42,-1138,7.70,7.37万,8.94万,0.82,428,310,1.78,5.556亿,42.78亿,5.556亿,42.78亿,3.63,12.57,12.90,15.88,2026/04/27,7.43,3.63%,1,12.74,10.63,12.24,23.79,-2.21,20.3万,1.53亿,—,—,2.80,11.59,12.74,12.24,15.33,17.41,1,42.78亿,42.78亿,3.61万,82.53,93.53,1.78,1.23,0.70,0.070,0.082,1.52,0.60,-7.09,-2.29,-16.79,0.19,16.88,41.3亿,60.61,—,-0.40,0.0269,0.1056,1494,112万,434,32.51万,0.19,0.73,—,—,—,—,—,—,—,—,—,—,0,1,—,-1260万,-1.16,-2246万
44,688221,前沿生物-U,20.93,-0.81,-0.17,27.5万,4144,20.92,20.93,-0.48,7.34,5.82亿,-29.96, 化学制药,21.84,20.67,21.06,21.10,5.55,0.81,-31.48,-299,21.15,15.2万,12.3万,1.23,9,467,8.87,3.746亿,78.40亿,3.746亿,78.40亿,-7.96,6.79,29.13,52.95,2026/04/27,22.74,-7.96%,-3,10.45,15.96,-0.33,149.17,-1.86,32.0万,6.85亿,—,—,-0.62,10.22,10.45,-0.33,50.32,65.46,-3,78.40亿,78.40亿,2.28万,-29.96,-29.96,8.87,55.52,—,-0.700,-0.699,-25.90,-9.27,10.96,-29.96,20.50,-0.39,34.84,6.56亿,40.06,—,-0.19,0.0313,0.0532,1174,247万,41,8.56万,0.31,0.37,—,—,—,—,—,—,—,—,—,—,0,2,—,2470万,0.53,-1.09亿
45,603726,朗迪集团,24.85,10.00,2.26,7.79万,64,24.85,—,0.00,4.22,1.91亿,19.68, 家电零部件Ⅱ,24.85,23.15,23.22,22.59,7.53,1.28,100.00,3.61万,24.46,4.01万,3.78万,1.06,3.49万,0,3.28,1.857亿,46.13亿,1.847亿,45.90亿,0.93,4.19,12.22,20.71,2026/04/27,24.62,0.93%,1,10.79,2.69,9.38,75.62,-2.38,5.70万,1.30亿,—,—,7.02,6.88,10.79,9.38,19.02,24.69,1,46.13亿,45.90亿,7647,19.68,21.45,3.28,2.35,1.61,0.950,1.158,13.04,6.77,4.75,32.26,2.99,0.07,21.77,12.7亿,47.40,—,2.79,0.1110,0.2475,2050,476万,2,4644,2.82,3.59,09:47:01,8679万,09:47:01,8679万,3.49万,—,—,44.83,—,1.89,0,2,4天2板,3317万,1.61,1227万
46,603626,科森科技,25.16,5.01,1.20,54.8万,5281,25.15,25.16,0.00,9.88,13.44亿,-91.23, 消费电子,25.29,23.33,23.80,23.96,8.18,1.37,-39.53,-2709,24.52,24.0万,30.8万,0.78,785,764,6.54,5.549亿,139.6亿,5.549亿,139.6亿,3.24,6.16,25.06,45.83,2026/04/27,24.37,3.24%,2,13.95,20.15,6.84,215.29,0.46,35.1万,8.45亿,—,—,5.71,9.87,13.95,6.84,38.12,69.03,2,139.6亿,139.6亿,5884,-91.23,-39.04,6.54,4.34,—,-0.208,-0.645,-5.22,-2.15,-6.45,50.94,26.95,0.07,9.95,29.9亿,58.34,—,-0.67,0.0357,0.0507,1979,471万,658,157万,0.90,0.56,—,—,—,—,—,—,—,—,—,—,0,5,—,7687万,0.78,4914万
47,001332,锡装股份,62.80,-1.83,-1.17,2.60万,1059,62.79,62.80,0.14,5.42,1.63亿,26.07, 专用设备,63.95,62.00,63.94,63.97,3.05,0.85,0.27,0,62.72,1.39万,1.21万,1.15,1,1,2.71,1.105亿,69.39亿,4800万,30.15亿,-0.05,8.43,27.44,37.17,2026/04/27,62.83,-0.05%,-2,19.98,11.76,13.64,87.41,-0.51,3.41万,2.19亿,—,—,-1.78,9.54,19.98,13.64,34.78,52.24,-2,69.39亿,30.15亿,4403,26.07,28.09,2.71,5.24,1.27,1.814,2.235,8.08,5.74,-17.78,-3.93,-6.80,0.09,36.21,9.68亿,27.46,—,-0.05,0.0358,0.0620,172,110万,13,8.31万,0.33,0.50,—,—,—,—,—,—,—,—,—,—,0,3,—,-892万,-0.51,-5121万
48,002210,飞马国际,2.98,-9.97,-0.33,424万,1.75万,—,2.98,0.00,15.94,13.00亿,414.96, 环境治理,3.36,2.98,3.36,3.31,11.48,3.90,-100.00,-8.84万,3.07,213万,211万,1.01,0,5.83万,8.32,26.61亿,79.30亿,26.56亿,79.16亿,8.76,15.95,29.32,36.39,2026/04/27,2.74,8.76%,-1,10.37,-17.22,11.19,16.86,9.97,186万,6.12亿,—,—,-11.31,18.25,10.37,11.19,33.72,43.70,-1,79.30亿,79.16亿,2.13万,414.96,855.14,8.32,42.78,—,0.005,0.003,2.45,1.00,-24.89,-57.30,661.75,0.16,32.05,4.55亿,32.23,—,1.51,0.8180,1.1678,21.7万,7301万,4.27万,1433万,1.53,11.68,—,1736万,—,1736万,5.83万,8640万,26.1万,1.38,14.03,0.22,0,3,4天3板,-1.90亿,-3.42,1.10亿
49,600693,东百集团,11.35,-1.30,-0.15,58.0万,1.05万,11.35,11.36,-0.18,6.67,6.63亿,215.74, 一般零售,11.70,11.23,11.50,11.50,4.09,0.87,-63.72,-5311,11.43,31.3万,26.7万,1.17,55,534,2.77,8.698亿,98.73亿,8.690亿,98.63亿,-1.56,0.35,24.22,45.13,2026/04/27,11.53,-1.56%,-1,0.35,-36.31,1.98,75.70,0.88,66.5万,7.69亿,—,—,-1.30,2.81,0.35,1.98,38.22,89.03,-1,98.73亿,98.63亿,9360,215.74,215.74,2.77,5.35,0.79,0.053,0.053,1.30,0.96,1.71,5.23,0.15,0.14,58.65,104亿,69.77,—,0.00,0.0557,0.1308,4842,557万,69,7.93万,1.10,0.73,—,—,—,—,—,—,—,—,—,—,0,1,—,-2746万,-0.65,-5747万
50,603486,科沃斯,65.16,-1.53,-1.01,8.45万,1407,65.16,65.17,0.00,1.47,5.53亿,19.95, 小家电,66.66,64.77,65.65,66.17,2.86,0.78,50.78,260,65.39,5.29万,3.17万,1.67,72,11,4.39,5.789亿,377.2亿,5.734亿,373.6亿,-3.89,1.70,6.03,10.95,2026/04/27,67.80,-3.89%,-3,6.78,-19.24,4.42,38.96,-1.24,8.05万,5.34亿,—,—,-0.75,1.94,6.78,4.42,9.66,14.78,-3,377.2亿,373.6亿,1.83万,19.95,23.44,4.39,1.97,0.69,2.510,2.779,18.20,8.99,25.93,130.55,141.99,0.30,49.74,77.8亿,47.18,—,-0.79,0.0167,0.0476,959,629万,11,7.31万,1.27,1.19,—,—,—,—,—,—,—,—,—,—,0,1,—,-925万,-0.07,-6502万
51,603579,荣泰健康,22.30,0.68,0.15,7.81万,1242,22.30,22.31,0.00,3.88,1.75亿,30.34, 其他家电Ⅱ,22.72,22.02,22.02,22.15,3.16,0.96,70.71,606,22.42,4.16万,3.65万,1.14,138,34,1.63,2.011亿,44.83亿,2.011亿,44.83亿,1.00,11.50,16.90,24.08,2026/04/27,22.08,1.00%,1,12.34,-6.34,8.78,3.24,-1.64,8.25万,1.83亿,—,—,1.27,11.11,12.34,8.78,22.19,30.13,1,44.83亿,44.83亿,1.30万,30.34,27.98,1.63,2.84,1.37,0.630,0.797,5.24,3.13,-1.39,-22.24,-48.28,0.14,32.09,5.96亿,17.81,—,-0.59,0.0247,0.0431,496,109万,0,—,0.41,0.60,—,—,—,—,—,—,—,—,—,—,0,3,—,487万,0.19,3931万
52,000565,渝三峡Ａ,7.87,-2.11,-0.17,17.5万,3407,7.87,7.88,-0.13,4.04,1.39亿,155.19, 化学制品,8.07,7.85,8.04,8.04,2.74,0.78,37.14,2349,7.95,10.5万,6.96万,1.51,1650,165,2.74,4.336亿,34.12亿,4.336亿,34.12亿,-1.87,8.55,20.52,30.00,2026/04/27,8.02,-1.87%,-1,6.78,7.81,6.35,54.92,0.25,25.4万,2.04亿,—,—,-2.11,9.76,6.78,6.35,28.47,35.30,-1,34.12亿,34.12亿,8108,155.19,585.91,2.74,9.24,0.19,0.040,0.013,1.33,1.00,7.07,9.69,-20.83,-0.22,25.64,3.71亿,22.53,—,0.00,0.0291,0.0489,1261,101万,265,21.31万,0.33,0.50,—,—,—,—,—,—,—,—,—,—,0,2,—,-1766万,-0.87,-1591万
