初始,代码,名称,最新,涨幅%,涨跌,总量,现量,买入价,卖出价,涨速%,换手%,金额,市盈率, 所属行业,最高,最低,开盘,昨收,振幅%,量比,委比%,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅%,6日涨幅%,3日换手%,6日换手%,自选时间,自选价格,自选收益,连涨天数,本月涨幅%,今年涨幅%,近一月涨幅%,近一年涨幅%,昨日涨幅%,昨成交量,昨成交额,昨量比,昨换手%,实体涨幅%,5日涨幅%,本月涨幅%,近一月涨幅%,5日换手率%,10日换手率%,连涨天数,总市值,流通市值,人均持股数(最新公告),市盈率(动),市盈率(TTM),市净率,市销率,股息率TTM%,每股收益(期末股本),每股收益(TTM),加权净资产收益率%,总资产收益率%,营业总收入同比%,归属净利润同比%,扣非净利润同比%,现金流量比例%,销售毛利率%,总负债,资产负债比率%,股利支付率%,竞价涨幅%,竞价换手率%,竞价实际换手率%,竞价量,竞价金额,未匹配量,未匹配金额,竞昨量比,竞昨成交比%,首次涨停时间,封单额,最终涨停时间,封单额,封单量,昨封单额,昨封单量,封成比%,昨封成比%,封流比%,涨停开板次数,今年累计涨停天数,几天几板,主力净流入,主力净比,3日主力净流入
11,002786,银宝山新,7.84,0.90,0.07,44.3万,4296,7.83,7.84,0.13,8.97,3.51亿,-259.75, 专用设备,8.18,7.70,7.88,7.77,6.18,4.31,46.61,4322,7.92,23.0万,21.4万,1.07,3206,255,16.93,4.956亿,38.86亿,4.941亿,38.74亿,10.73,9.19,15.00,19.39,2026/04/29,7.77,0.90%,2,4.95,-8.84,5.80,-4.74,10.06,21.2万,1.62亿,4.31,8.97,-0.51,11.36,4.95,5.80,18.05,23.19,2,38.86亿,38.74亿,7358,-259.75,-25.10,16.93,1.64,—,-0.020,-0.312,-4.95,-0.51,8.98,91.25,76.04,0.02,13.20,34.4亿,94.60,0.00,1.42,0.1894,0.3032,9359,737万,817,64.38万,3.37,4.41,—,—,—,—,—,8871万,11.4万,—,53.83,—,0,1,昨日首板,1731万,0.72,7012万
12,000901,航天科技,24.00,3.36,0.78,80.6万,1.12万,23.99,24.00,0.00,10.09,19.14亿,318.66, 汽车零部件,24.26,22.88,23.10,23.22,5.94,3.20,-7.02,-336,23.75,37.9万,42.7万,0.89,326,1650,4.51,7.982亿,191.6亿,7.982亿,191.6亿,9.44,2.70,17.91,25.86,2026/04/29,23.22,3.36%,2,6.57,-15.70,7.62,135.99,10.00,42.0万,9.63亿,3.20,10.09,3.90,5.12,6.57,7.62,22.74,42.65,2,191.6亿,191.6亿,4834,318.66,215.43,4.51,3.19,—,0.119,0.111,0.35,1.29,-34.38,512.13,58.77,0.06,21.91,23.7亿,35.17,0.00,-0.52,0.2040,0.3134,1.63万,3761万,747,173万,9.41,3.88,—,—,—,—,—,9243万,3.98万,—,9.47,—,0,3,昨日首板,5657万,0.45,3.42亿
13,000567,海德股份,6.67,10.07,0.61,156万,3219,6.67,—,0.00,8.00,10.19亿,57.22, 多元金融,6.67,6.19,6.26,6.06,7.92,7.73,100.00,2.18万,6.53,80.2万,75.8万,1.06,1.95万,0,2.42,19.55亿,130.4亿,19.50亿,130.1亿,23.06,21.27,11.49,13.18,2026/04/29,6.06,10.07%,4,29.01,3.89,27.53,15.00,9.98,50.8万,3.06亿,7.73,8.01,6.55,23.29,29.01,27.53,12.48,15.90,4,130.4亿,130.1亿,4.06万,57.22,-803.14,2.42,28.15,—,0.087,-0.008,3.22,1.91,-46.54,-66.96,-68.94,0.53,99.33,32.3亿,37.38,0.00,3.30,0.1495,0.6094,2.92万,1825万,518,32.43万,1.36,5.74,09:57:00,1302万,14:30:09,1302万,1.95万,9857万,16.3万,1.25,32.01,0.10,7,2,2天2板,1.57亿,4.92,2.37亿
14,002520,日发精机,5.93,3.13,0.18,83.4万,6924,5.93,5.94,-0.34,11.62,4.91亿,32.88, 通用设备,5.98,5.71,5.95,5.75,4.70,3.69,-45.78,-1.30万,5.89,40.5万,42.9万,0.94,966,1617,15.03,7.502亿,44.49亿,7.174亿,42.54亿,10.02,7.04,18.44,27.36,2026/04/29,5.75,3.13%,2,6.85,-5.87,5.33,6.08,9.94,32.7万,1.86亿,3.69,11.62,-0.34,10.22,6.85,5.33,24.45,39.49,2,44.49亿,42.54亿,1.04万,32.88,-35.11,15.03,3.64,—,-0.356,-0.169,12.07,-9.21,-67.08,170.32,-536.96,0.13,31.66,15.4亿,83.90,0.00,3.48,0.2965,0.3946,2.13万,1266万,2315,138万,4.16,6.51,—,—,—,—,—,1.05亿,18.2万,—,55.80,—,0,3,昨日首板,1983万,0.62,8686万
15,002174,游族网络,10.24,0.59,0.06,70.1万,9465,10.24,10.25,0.10,7.16,7.19亿,98.55, 游戏Ⅱ,10.35,10.11,10.17,10.18,2.36,3.04,57.63,9531,10.26,36.9万,33.2万,1.11,3177,555,2.02,9.798亿,100.3亿,9.793亿,100.3亿,9.64,6.11,11.76,18.93,2026/04/29,10.18,0.59%,2,7.34,-16.34,4.81,12.16,10.05,28.1万,2.83亿,3.04,7.16,0.69,8.13,7.34,4.81,16.80,25.42,2,100.3亿,100.3亿,1.28万,98.55,-31.87,2.02,6.89,—,0.080,-0.321,1.67,1.30,2.20,1374.60,242.19,-0.08,39.52,8.20亿,14.19,0.00,-0.10,0.1757,0.2155,1.72万,1749万,528,53.70万,2.06,6.13,—,—,—,—,—,1.16亿,11.4万,—,40.58,—,0,1,昨日首板,1262万,0.15,1.03亿
16,002354,天娱数科,6.20,4.20,0.25,229万,1.40万,6.19,6.20,0.16,14.10,14.25亿,180.17, 广告营销,6.43,6.06,6.16,5.95,6.22,5.22,-29.41,-2.29万,6.21,111万,118万,0.94,5136,2.52万,7.99,16.55亿,102.6亿,16.26亿,100.8亿,10.91,9.35,20.10,27.61,2026/04/29,5.95,4.20%,2,9.15,-2.67,8.58,14.39,9.98,52.5万,3.12亿,5.22,14.10,0.65,10.32,9.15,8.58,24.96,40.33,2,102.6亿,100.8亿,7974,180.17,-153.88,7.99,5.44,—,0.026,-0.040,3.44,2.56,25.67,597.60,149.41,0.13,24.33,6.49亿,32.83,0.00,3.53,0.4866,0.4866,7.91万,4874万,116,7.15万,2.37,15.06,—,—,—,—,—,1.26亿,21.2万,—,40.44,—,0,1,昨日首板,9847万,0.98,2.80亿
17,000831,中国稀土,54.44,0.76,0.41,57.1万,5752,54.43,54.44,-0.02,5.38,31.08亿,225.46, 小金属,55.20,53.50,54.35,54.03,3.15,1.52,-73.56,-3296,54.41,28.7万,28.4万,1.01,303,2120,11.95,10.61亿,577.7亿,10.61亿,577.7亿,8.68,-1.34,13.07,23.13,2026/04/29,54.03,0.76%,2,13.44,17.23,12.76,71.30,10.00,59.7万,31.45亿,1.52,5.38,0.17,6.52,13.44,12.76,17.89,36.06,2,577.7亿,577.7亿,5223,225.46,533.58,11.95,16.19,—,0.181,0.102,4.06,3.45,27.73,194.67,186.01,0.16,14.21,8.18亿,14.04,17.83,0.59,0.0996,0.1607,1.06万,5742万,281,153万,4.67,1.77,—,—,—,—,—,1.27亿,2.36万,—,3.95,—,0,1,昨日首板,-1.24亿,-0.35,4.23亿
18,002498,汉缆股份,8.72,-3.33,-0.30,209万,3.67万,8.71,8.72,0.11,6.28,18.42亿,48.98, 电网设备,9.07,8.70,9.02,9.02,4.10,1.42,26.19,1.31万,8.82,113万,95.8万,1.18,1.45万,5838,3.25,33.27亿,290.1亿,33.27亿,290.1亿,1.04,-2.68,14.80,28.42,2026/04/29,9.02,-3.33%,-1,-1.13,127.68,4.06,169.97,10.00,170万,14.97亿,1.42,6.28,-3.33,-4.07,-1.13,4.06,21.66,55.79,-1,290.1亿,290.1亿,3.71万,48.98,48.98,3.25,2.93,0.46,0.178,0.178,6.95,3.85,13.04,-9.59,-20.87,-0.07,14.00,42.2亿,32.85,24.04,0.00,0.0881,0.2636,2.93万,2645万,2241,202万,6.32,1.72,—,—,—,—,—,1.36亿,15.0万,—,8.82,—,0,15,昨日首板,-5.63亿,-5.81,-2639万
19,000551,创元科技,16.28,3.30,0.52,59.8万,7609,16.28,16.29,0.00,12.34,9.73亿,26.75, 环保设备Ⅱ,16.61,15.78,15.92,15.76,5.27,3.09,-59.24,-4811,16.28,28.0万,31.8万,0.88,663,478,2.72,4.847亿,78.91亿,4.845亿,78.88亿,12.04,10.30,19.09,32.29,2026/04/29,15.76,3.30%,2,22.96,10.75,21.04,80.89,9.98,21.4万,3.37亿,3.09,12.34,2.26,8.68,22.96,21.04,26.16,42.33,2,78.91亿,78.88亿,1.23万,26.75,26.75,2.72,1.87,0.37,0.611,0.609,10.68,6.81,0.69,17.69,27.35,0.28,26.49,24.0亿,37.34,9.86,1.02,0.2523,0.3917,1.22万,1946万,921,147万,1.14,5.70,—,—,—,—,—,1.39亿,8.82万,—,41.15,—,0,2,昨日首板,2692万,0.53,1.36亿
20,002842,翔鹭钨业,38.49,10.00,3.50,88.0万,989,38.49,—,0.00,32.76,33.58亿,87.63, 小金属,38.49,36.51,36.51,34.99,5.66,2.16,100.00,1.81万,38.18,53.6万,34.3万,1.56,1.43万,0,10.43,3.272亿,125.9亿,2.685亿,103.3亿,26.78,10.54,67.76,108.63,2026/04/29,34.99,10.00%,3,17.53,166.18,19.53,498.60,10.00,56.9万,19.17亿,2.16,32.76,5.42,19.13,17.53,19.53,89.24,185.83,3,125.9亿,103.3亿,3141,87.63,87.63,10.43,5.23,0.36,0.460,0.439,13.66,5.91,37.71,260.56,211.90,0.08,14.36,16.0亿,56.97,31.42,4.34,0.6145,0.7999,1.65万,6023万,771,281万,0.91,2.90,09:32:51,5489万,14:01:00,5489万,1.43万,1.81亿,5.16万,1.62,9.07,0.53,23,12,2天2板,5.57亿,7.02,10.5亿
