日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2024-01-02,09:30:01,股票,汇金通(603577.XSHG),买,市价单,10900股,11.44,124696,10900股,-,0,37.41,全部成交,2024-01-02 09:30:01
2024-01-02,09:30:02,股票,可川科技(603052.XSHG),买,市价单,2600股,47.94,124644,2600股,-,0,37.39,全部成交,2024-01-02 09:30:02
2024-01-03,11:25:00,股票,可川科技(603052.XSHG),卖,市价单,-2600股,52.7,-137020,-2600股,-,12376,178.13,全部成交,2024-01-03 11:25:00
2024-01-04,09:30:48,股票,惠威科技(002888.XSHE),买,市价单,4800股,28.14,135072,4800股,-,0,40.52,全部成交,2024-01-04 09:30:48
2024-01-04,11:25:00,股票,汇金通(603577.XSHG),卖,市价单,-10900股,12.99,-141591,-10900股,-,16895,184.07,全部成交,2024-01-04 11:25:00
2024-01-05,14:50:00,股票,惠威科技(002888.XSHE),卖,市价单,-4800股,28.18,-135264,-4800股,-,192,175.84,全部成交,2024-01-05 14:50:00
2024-01-08,09:30:26,股票,大连圣亚(600593.XSHG),买,市价单,4600股,30.14,138644,4600股,-,0,41.59,全部成交,2024-01-08 09:30:26
2024-01-09,09:30:00,股票,思进智能(003025.XSHE),买,市价单,7200股,19.35,139320,7200股,-,0,41.8,全部成交,2024-01-09 09:30:00
2024-01-10,11:25:00,股票,大连圣亚(600593.XSHG),卖,市价单,-4600股,31.76,-146096,-4600股,-,7452,189.92,全部成交,2024-01-10 11:25:00
2024-01-10,14:50:00,股票,思进智能(003025.XSHE),卖,市价单,-7200股,19.23,-138456,-7200股,-,-864,179.99,全部成交,2024-01-10 14:50:00
2024-01-11,10:05:03,股票,光洋股份(002708.XSHE),买,市价单,15200股,9.36,142272,15200股,-,0,42.68,全部成交,2024-01-11 10:05:03
2024-01-15,11:25:00,股票,光洋股份(002708.XSHE),卖,市价单,-15200股,10.89,-165528,-15200股,-,23256,215.19,全部成交,2024-01-15 11:25:00
2024-01-16,09:33:30,股票,绿康生化(002868.XSHE),买,市价单,5100股,30.07,153357,5100股,-,0,46.01,全部成交,2024-01-16 09:33:30
2024-01-17,09:30:06,股票,深中华A(000017.XSHE),买,市价单,17700股,8.72,154344,17700股,-,0,46.3,全部成交,2024-01-17 09:30:06
2024-01-17,14:50:00,股票,绿康生化(002868.XSHE),卖,市价单,-5100股,28.75,-146625,-5100股,-,-6732,190.61,全部成交,2024-01-17 14:50:00
2024-01-18,14:50:00,股票,深中华A(000017.XSHE),卖,市价单,-17700股,9.14,-161778,-17700股,-,7434,210.31,全部成交,2024-01-18 14:50:00
2024-01-19,09:30:38,股票,剑桥科技(603083.XSHG),买,市价单,4000股,38.04,152160,4000股,-,0,45.65,全部成交,2024-01-19 09:30:38
2024-01-22,09:30:03,股票,华瓷股份(001216.XSHE),买,市价单,8100股,19.16,155196,8100股,-,0,46.56,全部成交,2024-01-22 09:30:03
2024-01-22,11:25:00,股票,剑桥科技(603083.XSHG),卖,市价单,-4000股,39.2,-156800,-4000股,-,4640,203.84,全部成交,2024-01-22 11:25:00
2024-01-23,09:30:00,股票,东风汽车(600006.XSHG),买,市价单,24300股,6.46,156978,24300股,-,0,47.09,全部成交,2024-01-23 09:30:00
2024-01-24,11:25:00,股票,华瓷股份(001216.XSHE),卖,市价单,-8100股,21.69,-175689,-8100股,-,20493,228.4,全部成交,2024-01-24 11:25:00
2024-01-24,14:50:00,股票,东风汽车(600006.XSHG),卖,市价单,-24300股,6.36,-154548,-24300股,-,-2430,200.91,全部成交,2024-01-24 14:50:00
2024-01-26,09:30:00,股票,上海易连(600836.XSHG),买,市价单,32500股,5.07,164775,32500股,-,0,49.43,全部成交,2024-01-26 09:30:00
2024-01-26,09:32:54,股票,中交地产(000736.XSHE),买,市价单,15100股,10.88,164288,15100股,-,0,49.29,全部成交,2024-01-26 09:32:54
