日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-01-02,09:30:00,股票,交大昂立(600530.XSHG),买,市价单,4700股,5.31,24957,4700股,-,0,7.49,全部成交,2025-01-02 09:30:00
2025-01-03,09:30:01,股票,美邦股份(605033.XSHG),买,市价单,1700股,14.55,24735,1700股,-,0,7.42,全部成交,2025-01-03 09:30:01
2025-01-06,14:50:00,股票,交大昂立(600530.XSHG),卖,市价单,-4700股,5.26,-24722,-4700股,-,-235,32.14,全部成交,2025-01-06 14:50:00
2025-01-07,09:30:00,股票,柘中股份(002346.XSHE),买,市价单,2000股,11.95,23900,2000股,-,0,7.17,全部成交,2025-01-07 09:30:00
2025-01-08,14:50:00,股票,柘中股份(002346.XSHE),卖,市价单,-2000股,12.65,-25300,-2000股,-,1400,32.89,全部成交,2025-01-08 14:50:00
2025-01-10,09:30:52,股票,五洲新春(603667.XSHG),买,市价单,800股,31.1,24880,800股,-,0,7.46,全部成交,2025-01-10 09:30:52
2025-01-13,14:50:00,股票,五洲新春(603667.XSHG),卖,市价单,-800股,31.43,-25144,-800股,-,264,32.69,全部成交,2025-01-13 14:50:00
2025-01-15,09:30:00,股票,德创环保(603177.XSHG),买,市价单,3000股,8.67,26010,3000股,-,0,7.8,全部成交,2025-01-15 09:30:00
2025-01-16,11:25:00,股票,美邦股份(605033.XSHG),卖,市价单,-1700股,28.37,-48229,-1700股,-,23494,62.7,全部成交,2025-01-16 11:25:00
2025-01-17,09:30:06,股票,闽发铝业(002578.XSHE),买,市价单,13400股,3.61,48374,13400股,-,0,14.51,全部成交,2025-01-17 09:30:06
2025-01-17,11:25:00,股票,德创环保(603177.XSHG),卖,市价单,-3000股,9.01,-27030,-3000股,-,1020,35.14,全部成交,2025-01-17 11:25:00
2025-01-20,09:30:27,股票,澳弘电子(605058.XSHG),买,市价单,1100股,23.56,25916,1100股,-,0,7.77,全部成交,2025-01-20 09:30:27
2025-01-20,14:50:00,股票,闽发铝业(002578.XSHE),卖,市价单,-13400股,3.35,-44890,-13400股,-,-3484,58.36,全部成交,2025-01-20 14:50:00
2025-01-21,09:31:39,股票,润都股份(002923.XSHE),买,市价单,3800股,12.1,45980,3800股,-,0,13.79,全部成交,2025-01-21 09:31:39
