日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2024-01-02,09:25:00,股票,中国海防(600764.XSHG),买,市价单,500股,25.42,12710,500股,-,0,5,全部成交,2024-01-02 09:30:00
2024-01-02,09:25:00,股票,益丰药房(603939.XSHG),买,市价单,400股,32.02,12808,400股,-,0,5,全部成交,2024-01-02 09:30:00
2024-01-03,09:25:00,股票,中国西电(601179.XSHG),买,市价单,3000股,4.85,14550,3000股,-,0,5,全部成交,2024-01-03 09:30:00
2024-01-09,09:25:00,股票,中国海防(600764.XSHG),卖,市价单,-500股,23.94,-11970,-500股,-,-740,16.97,全部成交,2024-01-09 09:30:00
2024-01-18,09:25:00,股票,湘财股份(600095.XSHG),买,市价单,1800股,7.2,12960,1800股,-,0,5,全部成交,2024-01-18 09:30:00
2024-01-22,09:25:00,股票,益丰药房(603939.XSHG),卖,市价单,-400股,31.42,-12568,-400股,-,-240,17.57,全部成交,2024-01-22 09:30:00
2024-01-23,09:25:00,股票,中国西电(601179.XSHG),卖,市价单,-3000股,4.68,-14040,-3000股,-,-510,19.04,全部成交,2024-01-23 09:30:00
2024-01-25,09:25:00,股票,陆家嘴(600663.XSHG),买,市价单,1500股,8.78,13170,1500股,-,0,5,全部成交,2024-01-25 09:30:00
2024-01-25,09:25:00,股票,中材国际(600970.XSHG),买,市价单,1400股,9.6,13440,1400股,-,0,5,全部成交,2024-01-25 09:30:00
2024-02-05,09:25:00,股票,湘财股份(600095.XSHG),卖,市价单,-1800股,6.62,-11916,-1800股,-,-1044,16.92,全部成交,2024-02-05 09:30:00
2024-02-05,09:25:00,股票,陆家嘴(600663.XSHG),卖,市价单,-1500股,8.04,-12060,-1500股,-,-1110,17.06,全部成交,2024-02-05 09:30:00
2024-02-06,09:25:00,股票,海信视像(600060.XSHG),买,市价单,500股,21.15,10575,500股,-,0,5,全部成交,2024-02-06 09:30:00
2024-02-07,09:25:00,股票,恒逸石化(000703.XSHE),买,市价单,1900股,6.86,13034,1900股,-,0,5,全部成交,2024-02-07 09:30:00
2024-02-19,09:25:00,股票,中材国际(600970.XSHG),卖,市价单,-1400股,10.36,-14504,-1400股,-,1064,19.5,全部成交,2024-02-19 09:30:00
