日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-04-29,09:25:00,股票,京能电力(600578.XSHG),卖,市价单,-6200股,4.11,-25482,-6200股,-,310,33.13,全部成交,2025-04-29 09:30:00
2025-04-29,09:25:00,股票,珀莱雅(603605.XSHG),卖,市价单,-200股,90.76,-18152,-200股,-,1308,23.6,全部成交,2025-04-29 09:30:00
2025-04-29,09:25:00,股票,首钢股份(000959.XSHE),卖,市价单,-6900股,3.68,-25392,-6900股,-,1380,33.01,全部成交,2025-04-29 09:30:00
2025-05-07,09:25:00,股票,海亮股份(002203.XSHE),买,市价单,2700股,9.47,25569,2700股,-,0,7.67,全部成交,2025-05-07 09:30:00
2025-05-08,09:25:00,股票,海亮股份(002203.XSHE),卖,市价单,-2700股,9.75,-26325,-2700股,-,756,34.22,全部成交,2025-05-08 09:30:00
2025-05-08,09:25:00,股票,中航成飞(302132.XSHE),买,市价单,300股,69.48,20844,300股,-,0,6.25,全部成交,2025-05-08 09:30:00
2025-05-08,09:25:00,股票,中航重机(600765.XSHG),买,市价单,1500股,15.9,23850,1500股,-,0,7.15,全部成交,2025-05-08 09:30:00
2025-05-09,09:25:00,股票,中航成飞(302132.XSHE),卖,市价单,-0股,--,0,-300股,-,-0,0,已撤单,2025-05-09 09:25:00
2025-05-09,09:25:00,股票,中航重机(600765.XSHG),卖,市价单,-1500股,16.94,-25410,-1500股,-,1560,33.03,全部成交,2025-05-09 09:30:00
2025-05-09,09:25:00,股票,中航成飞(302132.XSHE),卖,市价单,-300股,87.34,-26202,-300股,-,5358,34.06,全部成交,2025-05-09 09:30:00
2025-05-12,09:25:00,股票,浙江鼎力(603338.XSHG),买,市价单,500股,45.96,22980,500股,-,0,6.89,全部成交,2025-05-12 09:30:00
2025-05-12,09:25:00,股票,中航成飞(302132.XSHE),买,市价单,300股,77.42,23226,300股,-,0,6.97,全部成交,2025-05-12 09:30:00
2025-05-13,09:25:00,股票,浙江鼎力(603338.XSHG),卖,市价单,-500股,50.84,-25420,-500股,-,2440,33.05,全部成交,2025-05-13 09:30:00
2025-05-13,09:25:00,股票,中航成飞(302132.XSHE),卖,市价单,-0股,--,0,-300股,-,-0,0,已撤单,2025-05-13 09:25:00
2025-05-13,09:25:00,股票,中航成飞(302132.XSHE),卖,市价单,-300股,94.96,-28488,-300股,-,5262,37.03,全部成交,2025-05-13 09:30:00
2025-05-13,09:25:00,股票,东方日升(300118.XSHE),买,市价单,2700股,9.7,26190,2700股,-,0,7.86,全部成交,2025-05-13 09:30:00
2025-05-14,09:25:00,股票,东方日升(300118.XSHE),卖,市价单,-0股,--,0,-2700股,-,-0,0,已撤单,2025-05-14 09:25:00
2025-05-14,09:25:00,股票,东方日升(300118.XSHE),卖,市价单,-2700股,10.51,-28377,-2700股,-,2187,36.89,全部成交,2025-05-14 09:30:00
2025-05-14,09:25:00,股票,吉林敖东(000623.XSHE),买,市价单,1900股,15.82,30058,1900股,-,0,9.02,全部成交,2025-05-14 09:30:00
2025-05-15,09:25:00,股票,吉林敖东(000623.XSHE),卖,市价单,-1900股,16.32,-31008,-1900股,-,950,40.31,全部成交,2025-05-15 09:30:00
2025-05-16,09:25:00,股票,以岭药业(002603.XSHE),买,市价单,2100股,14.74,30954,2100股,-,0,9.29,全部成交,2025-05-16 09:30:00
2025-05-19,09:25:00,股票,以岭药业(002603.XSHE),卖,市价单,-2100股,14.96,-31416,-2100股,-,462,40.84,全部成交,2025-05-19 09:30:00
2025-05-28,09:25:00,股票,周大生(002867.XSHE),买,市价单,2000股,13.84,27680,2000股,-,0,8.3,全部成交,2025-05-28 09:30:00
2025-05-29,09:25:00,股票,周大生(002867.XSHE),卖,市价单,-2000股,15.01,-30020,-2000股,-,2340,39.03,全部成交,2025-05-29 09:30:00
2025-05-29,09:25:00,股票,德邦股份(603056.XSHG),买,市价单,1700股,17.88,30396,1700股,-,0,9.12,全部成交,2025-05-29 09:30:00
2025-05-29,09:25:00,股票,凯莱英(002821.XSHE),买,市价单,300股,86.64,25992,300股,-,0,7.8,全部成交,2025-05-29 09:30:00
2025-05-30,09:25:00,股票,德邦股份(603056.XSHG),卖,市价单,-1700股,20.64,-35088,-1700股,-,4692,45.61,全部成交,2025-05-30 09:30:00
2025-05-30,09:25:00,股票,凯莱英(002821.XSHE),卖,市价单,-300股,91.3,-27390,-300股,-,1398,35.61,全部成交,2025-05-30 09:30:00
2025-05-30,09:25:00,股票,吉比特(603444.XSHG),买,市价单,100股,236.12,23612,100股,-,0,7.08,全部成交,2025-05-30 09:30:00
2025-06-03,09:25:00,股票,吉比特(603444.XSHG),卖,市价单,-100股,251.46,-25146,-100股,-,1534,32.69,全部成交,2025-06-03 09:30:00
2025-06-03,09:25:00,股票,贝泰妮(300957.XSHE),买,市价单,700股,44.22,30954,700股,-,0,9.29,全部成交,2025-06-03 09:30:00
2025-06-04,09:25:00,股票,贝泰妮(300957.XSHE),卖,市价单,-700股,49.02,-34314,-700股,-,3360,44.61,全部成交,2025-06-04 09:30:00
2025-06-05,09:25:00,股票,胜宏科技(300476.XSHE),买,市价单,300股,86.12,25836,300股,-,0,7.75,全部成交,2025-06-05 09:30:00
2025-06-06,09:25:00,股票,胜宏科技(300476.XSHE),卖,市价单,-0股,--,0,-300股,-,-0,0,已撤单,2025-06-06 09:25:00
2025-06-06,09:25:00,股票,胜宏科技(300476.XSHE),卖,市价单,-300股,99.56,-29868,-300股,-,4032,38.83,全部成交,2025-06-06 09:30:00
