日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-11-13,09:25:00,股票,天华新能(300390.XSHE),买,市价单,300股,41.54,12462,300股,-,0,5,全部成交,2025-11-13 09:30:00
2025-11-14,09:25:00,股票,永泰能源(600157.XSHG),买,市价单,8700股,1.63,14181,8700股,-,0,5,全部成交,2025-11-14 09:30:00
2025-11-17,09:25:00,股票,永泰能源(600157.XSHG),卖,市价单,-8700股,1.78,-15486,-8700股,-,1305,20.49,全部成交,2025-11-17 09:30:00
2025-11-17,09:25:00,股票,天华新能(300390.XSHE),买,市价单,200股,52.8,10560,200股,-,0,5,全部成交,2025-11-17 09:30:00
2025-11-18,09:25:00,股票,天华新能(300390.XSHE),卖,市价单,-500股,59.46,-29730,-500股,-,6708,38.65,全部成交,2025-11-18 09:30:00
2025-11-24,09:25:00,股票,中船防务(600685.XSHG),买,市价单,500股,29.82,14910,500股,-,0,5,全部成交,2025-11-24 09:30:00
2025-11-26,09:25:00,股票,石基信息(002153.XSHE),买,市价单,1300股,12.16,15808,1300股,-,0,5,全部成交,2025-11-26 09:30:00
