日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2024-01-02,10:35:05,基金,日经ETF(513520.XSHG),买,市价单,19000股,1.31,24890,19000股,-,0,5,全部成交,2024-01-02 10:35:05
2024-01-03,09:40:02,基金,银行ETF(512800.XSHG),买,市价单,24000股,1.04,24960,24000股,-,0,5,全部成交,2024-01-03 09:40:02
2024-01-08,10:35:00,基金,日经ETF(513520.XSHG),卖,市价单,-19000股,1.324,-25156,-19000股,-,266,5,全部成交,2024-01-08 10:35:00
2024-01-08,10:35:05,基金,恒生股息(513690.XSHG),买,市价单,34800股,0.726,25264.8,34800股,-,0,5,全部成交,2024-01-08 10:35:05
2024-01-10,10:35:00,基金,恒生股息(513690.XSHG),卖,市价单,-34800股,0.718,-24986.4,-34800股,-,-278.4,5,全部成交,2024-01-10 10:35:00
2024-01-10,10:35:05,基金,日经ETF(513520.XSHG),买,市价单,18000股,1.382,24876,18000股,-,0,5,全部成交,2024-01-10 10:35:05
2024-01-16,10:35:00,基金,日经ETF(513520.XSHG),卖,市价单,-18000股,1.614,-29052,-18000股,-,4176,5,全部成交,2024-01-16 10:35:00
2024-01-16,10:35:05,基金,恒生股息(513690.XSHG),买,市价单,37800股,0.724,27367.2,37800股,-,0,5,全部成交,2024-01-16 10:35:05
2024-01-17,10:35:00,基金,恒生股息(513690.XSHG),卖,市价单,-37800股,0.698,-26384.4,-37800股,-,-982.8,5,全部成交,2024-01-17 10:35:00
2024-01-17,10:35:05,基金,资源ETF(510410.XSHG),买,市价单,25300股,1.064,26919.2,25300股,-,0,5,全部成交,2024-01-17 10:35:05
2024-01-19,10:35:00,基金,资源ETF(510410.XSHG),卖,市价单,-25300股,1.04,-26312,-25300股,-,-607.2,5,全部成交,2024-01-19 10:35:00
2024-01-19,10:35:05,基金,日经ETF(513520.XSHG),买,市价单,18000股,1.47,26460,18000股,-,0,5,全部成交,2024-01-19 10:35:05
2024-01-23,10:00:00,基金,银行ETF(512800.XSHG),卖,市价单,-24000股,1.062,-25488,-24000股,-,528,5,全部成交,2024-01-23 10:00:00
2024-01-24,10:35:00,基金,日经ETF(513520.XSHG),卖,市价单,-18000股,1.69,-30420,-18000股,-,3960,5,全部成交,2024-01-24 10:35:00
2024-01-24,10:35:05,基金,纳指ETF(513100.XSHG),买,市价单,22200股,1.282,28460.4,22200股,-,0,5,全部成交,2024-01-24 10:35:05
2024-01-30,09:40:02,基金,银行ETF(512800.XSHG),买,市价单,25400股,1.12,28448,25400股,-,0,5,全部成交,2024-01-30 09:40:02
2024-01-30,10:35:00,基金,纳指ETF(513100.XSHG),卖,市价单,-22200股,1.286,-28549.2,-22200股,-,88.8,5,全部成交,2024-01-30 10:35:00
2024-01-30,10:35:05,基金,日经ETF(513520.XSHG),买,市价单,19600股,1.454,28498.4,19600股,-,0,5,全部成交,2024-01-30 10:35:05
2024-02-01,10:35:00,基金,日经ETF(513520.XSHG),卖,市价单,-19600股,1.42,-27832,-19600股,-,-666.4,5,全部成交,2024-02-01 10:35:00
2024-02-01,10:35:05,基金,纳指ETF(513100.XSHG),买,市价单,22200股,1.253,27816.6,22200股,-,0,5,全部成交,2024-02-01 10:35:05
2024-02-06,09:40:00,基金,银行ETF(512800.XSHG),卖,市价单,-25400股,1.13,-28702,-25400股,-,254,5,全部成交,2024-02-06 09:40:00
2024-02-22,10:35:00,基金,纳指ETF(513100.XSHG),卖,市价单,-22200股,1.298,-28815.6,-22200股,-,999,5,全部成交,2024-02-22 10:35:00
2024-02-22,10:35:05,基金,50ETF(510050.XSHG),买,市价单,11700股,2.451,28676.7,11700股,-,0,5,全部成交,2024-02-22 10:35:05
