日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-03-18,10:35:05,基金,科100ETF(588120.XSHG),买,市价单,28300股,1.046,29601.8,28300股,-,0,5,全部成交,2025-03-18 10:35:05
2025-03-19,10:35:00,基金,科100ETF(588120.XSHG),卖,市价单,-28300股,1.036,-29318.8,-28300股,-,-283,5,全部成交,2025-03-19 10:35:00
2025-03-19,10:35:05,基金,德国ETF(513030.XSHG),买,市价单,16000股,1.836,29376,16000股,-,0,5,全部成交,2025-03-19 10:35:05
2025-03-21,09:31:00,股票,天元股份(003003.XSHE),卖,市价单,-700股,10.5,-7350,-700股,-,-14,8.68,全部成交,2025-03-21 09:31:00
2025-03-21,09:31:00,股票,红墙股份(002809.XSHE),卖,市价单,-800股,8.98,-7184,-800股,-,120,8.59,全部成交,2025-03-21 09:31:00
2025-03-21,09:31:00,股票,大洋生物(003017.XSHE),卖,市价单,-300股,21.76,-6528,-300股,-,-96,8.26,全部成交,2025-03-21 09:31:00
2025-03-21,09:31:00,股票,贝肯能源(002828.XSHE),卖,市价单,-800股,9.44,-7552,-800股,-,200,8.78,全部成交,2025-03-21 09:31:00
2025-03-21,10:35:00,基金,德国ETF(513030.XSHG),卖,市价单,-16000股,1.79,-28640,-16000股,-,-736,5,全部成交,2025-03-21 10:35:00
2025-03-21,10:35:05,基金,恒生股息(513690.XSHG),买,市价单,30500股,0.955,29127.5,30500股,-,0,5,全部成交,2025-03-21 10:35:05
2025-03-25,10:35:00,基金,恒生股息(513690.XSHG),卖,市价单,-30500股,0.94,-28670,-30500股,-,-457.5,5,全部成交,2025-03-25 10:35:00
2025-03-25,10:35:05,基金,资源ETF(510410.XSHG),买,市价单,23400股,1.238,28969.2,23400股,-,0,5,全部成交,2025-03-25 10:35:05
2025-03-31,10:35:00,基金,资源ETF(510410.XSHG),卖,市价单,-23400股,1.214,-28407.6,-23400股,-,-561.6,5,全部成交,2025-03-31 10:35:00
2025-03-31,10:35:05,基金,黄金ETF(518880.XSHG),买,市价单,4100股,6.982,28626.2,4100股,-,0,5,全部成交,2025-03-31 10:35:05
