日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2025-11-13,10:35:05,基金,恒生股息(513690.XSHG),买,市价单,21100股,1.184,24982.4,21100股,-,0,5,全部成交,2025-11-13 10:35:05
2025-11-14,09:40:20,股票,中天服务(002188.XSHE),买,市价单,900股,6.69,6021,900股,-,0,5,全部成交,2025-11-14 09:40:20
2025-11-14,09:40:20,股票,天元股份(003003.XSHE),买,市价单,400股,13.58,5432,400股,-,0,5,全部成交,2025-11-14 09:40:20
2025-11-14,09:40:20,股票,宏达高科(002144.XSHE),买,市价单,400股,14.13,5652,400股,-,0,5,全部成交,2025-11-14 09:40:20
2025-11-14,09:40:20,股票,贝肯能源(002828.XSHE),买,市价单,500股,12.36,6180,500股,-,0,5,全部成交,2025-11-14 09:40:20
2025-11-18,10:35:00,基金,恒生股息(513690.XSHG),卖,市价单,-21100股,1.148,-24222.8,-21100股,-,-759.6,5,全部成交,2025-11-18 10:35:00
2025-11-18,10:35:05,基金,新能源车龙头ETF(159637.XSHE),买,市价单,25700股,0.953,24492.1,25700股,-,0,5,全部成交,2025-11-18 10:35:05
2025-11-19,10:35:00,基金,新能源车龙头ETF(159637.XSHE),卖,市价单,-25700股,0.95,-24415,-25700股,-,-77.1,5,全部成交,2025-11-19 10:35:00
2025-11-19,10:35:05,基金,恒生股息(513690.XSHG),买,市价单,21100股,1.15,24265,21100股,-,0,5,全部成交,2025-11-19 10:35:05
2025-11-20,10:35:00,基金,恒生股息(513690.XSHG),卖,市价单,-21100股,1.142,-24096.2,-21100股,-,-168.8,5,全部成交,2025-11-20 10:35:00
2025-11-20,10:35:05,基金,豆粕ETF(159985.XSHE),买,市价单,12100股,1.976,23909.6,12100股,-,0,5,全部成交,2025-11-20 10:35:05
2025-11-21,10:00:00,股票,贝肯能源(002828.XSHE),卖,市价单,-500股,11.22,-5610,-500股,-,-570,7.8,全部成交,2025-11-21 10:00:00
2025-11-24,10:00:00,股票,中天服务(002188.XSHE),卖,市价单,-900股,6.07,-5463,-900股,-,-558,7.73,全部成交,2025-11-24 10:00:00
2025-11-25,09:40:00,股票,宏达高科(002144.XSHE),卖,市价单,-400股,13.24,-5296,-400股,-,-356,7.65,全部成交,2025-11-25 09:40:00
2025-11-26,10:35:00,基金,豆粕ETF(159985.XSHE),卖,市价单,-12100股,2.012,-24345.2,-12100股,-,435.6,5,全部成交,2025-11-26 10:35:00
2025-11-26,10:35:05,基金,黄金ETF(518880.XSHG),买,市价单,2600股,9.044,23514.4,2600股,-,0,5,全部成交,2025-11-26 10:35:05
2025-11-27,10:35:00,基金,黄金ETF(518880.XSHG),卖,市价单,-2600股,9.002,-23405.2,-2600股,-,-109.2,5,全部成交,2025-11-27 10:35:00
2025-11-27,10:35:05,基金,豆粕ETF(159985.XSHE),买,市价单,11700股,2.017,23598.9,11700股,-,0,5,全部成交,2025-11-27 10:35:05
